Unnamed: 0,uf,cod_municipio,municipio,cnpj,farmacia,endereco,bairro,data_credenciamento,tem_numero,geocode_status,endereco_completo,lat,lng
,SP,3521705,ITABERA,03.497.333/0001-66,DROGARIA E PERFUMARIA PADRAO DE ITABERA LTDA,AVE PREFEITO CARLOS RODRIGUES DOS SANTOS 56,CENTRO,2011-10-03 00:00:00,True,pendente,"AVE PREFEITO CARLOS RODRIGUES DOS SANTOS 56, CENTRO, ITABERA, SP, Brasil",,
,SP,3521705,ITABERA,04.832.186/0001-04,CLAUDIO FERREIRA NETO ITABERA,PRA AMADOR PEREIRA DE ALMEIDA 40,CENTRO,2014-01-13 00:00:00,True,pendente,"PRA AMADOR PEREIRA DE ALMEIDA 40, CENTRO, ITABERA, SP, Brasil",,
,SP,3521705,ITABERA,07.248.458/0001-03,FARMACIA ERVA DOCE DE ITABERA LTDA,AVE PREF CARLOS ROD DOS SANTOS 184,CENTRO,2011-09-30 00:00:00,True,pendente,"AVE PREF CARLOS ROD DOS SANTOS 184, CENTRO, ITABERA, SP, Brasil",,
,SP,3521705,ITABERA,09.579.471/0001-70,REINALDO PEREIRA LOPES JUNIOR,RUA JOSEPHINA SILVA MELO 402,CENTRO,2014-11-05 00:00:00,True,pendente,"RUA JOSEPHINA SILVA MELO 402, CENTRO, ITABERA, SP, Brasil",,
,SP,3521705,ITABERA,18.669.692/0001-20,DROGA ALPHA DE ITABERA LTDA,RUA CEL. JOSE PEDRO DE LIMA 101,CENTRO,2015-05-22 00:00:00,True,pendente,"RUA CEL. JOSE PEDRO DE LIMA 101, CENTRO, ITABERA, SP, Brasil",,
,SP,3521804,ITAI,06.915.195/0001-86,CORREA & CORREA DROGARIA LTDA,R HICHIDI FUTIKAMI 31,CONJUNTO HABITACIONAL ITAI B,2011-07-27 00:00:00,True,pendente,"R HICHIDI FUTIKAMI 31, CONJUNTO HABITACIONAL ITAI B, ITAI, SP, Brasil",,
,SP,3521804,ITAI,10.664.539/0001-07,REGINALDO VIEIRA PRODUTOS FARMACEUTICOS,R MAXIMILIA NUNES PARISCHI 242,VILA SAO SALVADOR,2012-10-25 00:00:00,True,pendente,"R MAXIMILIA NUNES PARISCHI 242, VILA SAO SALVADOR, ITAI, SP, Brasil",,
,SP,3521804,ITAI,13.338.593/0001-42,INGRID M PEREIRA & CIA LTDA,"AV SANTO ANTONIO, 1232",CENTRO,2011-07-12 00:00:00,True,pendente,"AV SANTO ANTONIO, 1232, CENTRO, ITAI, SP, Brasil",,
,SP,3521903,ITAJOBI,00.941.024/0001-45,CLODOALDO CLEUBIS OZANA & CIA LTDA,RUA RIO BRANCO 215,CENTRO,2013-11-26 00:00:00,True,pendente,"RUA RIO BRANCO 215, CENTRO, ITAJOBI, SP, Brasil",,
,SP,3521903,ITAJOBI,06.150.455/0001-70,FABIANA CURY SGARBI,RUA LAURO SODRE 714,CENTRO,2011-07-15 00:00:00,True,pendente,"RUA LAURO SODRE 714, CENTRO, ITAJOBI, SP, Brasil",,
,SP,3521903,ITAJOBI,11.220.338/0001-75,DROGARIA VILAS & ARONE LTDA.,"RUA PEDRO DE TOLEDO, 672",CENTRO,2011-09-14 00:00:00,True,pendente,"RUA PEDRO DE TOLEDO, 672, CENTRO, ITAJOBI, SP, Brasil",,
,SP,3521903,ITAJOBI,60.174.299/0001-22,CARABOLANTE CARABOLANTE & CIA LTDA,RUA PEDRO DE TOLEDO 300,CENTRO,2008-05-21 14:30:01,True,pendente,"RUA PEDRO DE TOLEDO 300, CENTRO, ITAJOBI, SP, Brasil",,
,SP,3522000,ITAJU,07.123.493/0001-04,VANESSA M. VARGAS,RUA MIGUEL BRAZ ARROTEIA 664,CENTRO,2013-11-25 00:00:00,True,pendente,"RUA MIGUEL BRAZ ARROTEIA 664, CENTRO, ITAJU, SP, Brasil",,
,SP,3522109,ITANHAEM,00.349.330/0001-97,DROGARIA CRAICE ITANHAEM II LTDA,AVE RUI BARBOSA 247,CENTRO,2008-04-15 00:00:00,True,pendente,"AVE RUI BARBOSA 247, CENTRO, ITANHAEM, SP, Brasil",,
,SP,3522109,ITANHAEM,00.906.687/0001-29,FRANELI DROGARIA E PERFUMARIA LTDA,AVE CLARA MARTINS ZWARG 1537,JARDIM BOPIRANGA,2015-06-29 00:00:00,True,pendente,"AVE CLARA MARTINS ZWARG 1537, JARDIM BOPIRANGA, ITANHAEM, SP, Brasil",,
,SP,3522109,ITANHAEM,08.811.199/0001-40,DROGARIA BELAS ARTES II LTDA,AV HARRY FORSSELL 132,BELAS ARTES,2011-11-04 00:00:00,True,pendente,"AV HARRY FORSSELL 132, BELAS ARTES, ITANHAEM, SP, Brasil",,
,SP,3522109,ITANHAEM,10.491.252/0001-14,DROGARIA BELAS ARTES LTDA,AV HARRY FORSSELL 822,BELAS ARTES,2010-09-10 14:47:58,True,pendente,"AV HARRY FORSSELL 822, BELAS ARTES, ITANHAEM, SP, Brasil",,
,SP,3522109,ITANHAEM,12.575.959/0001-34,PLATERO & LIMA DROGARIA LTDA,AVE HARRY FORSSELL 726,JARDIM BELAS ARTES,2011-08-29 00:00:00,True,pendente,"AVE HARRY FORSSELL 726, JARDIM BELAS ARTES, ITANHAEM, SP, Brasil",,
,SP,3522109,ITANHAEM,20.140.394/0001-90,BARBOZA DROGARIA LTDA,RUA EDUARDO PEDRO MARIANO 640,JARDIM BELAS ARTES,2015-06-26 00:00:00,True,pendente,"RUA EDUARDO PEDRO MARIANO 640, JARDIM BELAS ARTES, ITANHAEM, SP, Brasil",,
,SP,3522109,ITANHAEM,61.412.110/0249-25,DROGARIA SAO PAULO S.A.,AVE RUI BARBOSA 26,CENTRO,2009-10-06 00:00:00,True,pendente,"AVE RUI BARBOSA 26, CENTRO, ITANHAEM, SP, Brasil",,
,SP,3522109,ITANHAEM,61.585.865/0589-07,RAIA DROGASIL S/A,AV HARRY FORSSELL 98,BELAS ARTES,2013-06-24 00:00:00,True,pendente,"AV HARRY FORSSELL 98, BELAS ARTES, ITANHAEM, SP, Brasil",,
,SP,3522109,ITANHAEM,61.585.865/0801-63,RAIA DROGASIL S/A,AVE RUI BARBOSA S/N,CENTRO,2013-12-09 00:00:00,False,sem_numero,"AVE RUI BARBOSA S/N, CENTRO, ITANHAEM, SP, Brasil",,
,SP,3522109,ITANHAEM,67.059.485/0001-60,FARMACIA MEDICINAL TERAPEUTICA DE ITANHAEM LTDA,"RUA JOAO MARIANO FERREIRA, 30",CENTRO,2008-12-22 16:40:56,True,pendente,"RUA JOAO MARIANO FERREIRA, 30, CENTRO, ITANHAEM, SP, Brasil",,
,SP,3522109,ITANHAEM,67.559.450/0001-90,DROGARIA SANTOS REIS LTDA,AV FLACIDES FERREIRA 1218,GAIVOTA (PRAIA),2014-10-02 00:00:00,True,pendente,"AV FLACIDES FERREIRA 1218, GAIVOTA (PRAIA), ITANHAEM, SP, Brasil",,
,SP,3522158,ITAOCA,11.229.601/0001-97,RAFAELA APARECIDA MARTINS BORGES SANTOS & CIA. LTDA.,RUA PROF. ELIAS LAGES MAGALHAES 320,CENTRO,2013-05-21 00:00:00,True,pendente,"RUA PROF. ELIAS LAGES MAGALHAES 320, CENTRO, ITAOCA, SP, Brasil",,
,SP,3522208,ITAPECERICA DA SERRA,02.579.835/0001-73,DROGARIA DIAMANTE VERDE LTDA,R MANOEL MAXIMINO DA ROSA 322,CENTRO,2015-07-03 00:00:00,True,pendente,"R MANOEL MAXIMINO DA ROSA 322, CENTRO, ITAPECERICA DA SERRA, SP, Brasil",,
,SP,3522208,ITAPECERICA DA SERRA,10.268.023/0001-35,FARMADELIA DROGARIA LTDA,"AV. EDUARDO ROBERTO DAHER, 80",CENTRO,2011-04-18 00:00:00,True,pendente,"AV. EDUARDO ROBERTO DAHER, 80, CENTRO, ITAPECERICA DA SERRA, SP, Brasil",,
,SP,3522208,ITAPECERICA DA SERRA,12.024.487/0001-21,DROGARIA SANTHORIAFARMA LTDA,R JOSE MANOEL NICOLI 8,JARDIM VALO VELHO,2013-12-27 00:00:00,True,pendente,"R JOSE MANOEL NICOLI 8, JARDIM VALO VELHO, ITAPECERICA DA SERRA, SP, Brasil",,
,SP,3522208,ITAPECERICA DA SERRA,17.748.055/0001-87,TEM+FARMA DROGARIA LTDA,"R SOLIMOES, 1834 - SALA 4",25000.071648/2014-03,2014-07-28 00:00:00,True,pendente,"R SOLIMOES, 1834 - SALA 4, 25000.071648/2014-03, ITAPECERICA DA SERRA, SP, Brasil",,
,SP,3522208,ITAPECERICA DA SERRA,45.791.381/0001-02,DONI DROGARIA LTDA,AV EDUARDO ROBERTO DAHER 80,CENTRO,2014-05-07 00:00:00,True,pendente,"AV EDUARDO ROBERTO DAHER 80, CENTRO, ITAPECERICA DA SERRA, SP, Brasil",,
,SP,3522208,ITAPECERICA DA SERRA,52.178.167/0001-40,DROGAMEK DROGARIA LTDA,PCA JOAO PESSOA 2,CENTRO,2014-02-18 00:00:00,True,pendente,"PCA JOAO PESSOA 2, CENTRO, ITAPECERICA DA SERRA, SP, Brasil",,
,SP,3522208,ITAPECERICA DA SERRA,54.180.286/0001-63,DROGASAN DROGARIA LTDA,PCA DAS BANDEIRAS 38,CENTRO,2014-12-15 00:00:00,True,pendente,"PCA DAS BANDEIRAS 38, CENTRO, ITAPECERICA DA SERRA, SP, Brasil",,
,SP,3522208,ITAPECERICA DA SERRA,61.585.865/0273-51,RAIA DROGASIL S/A,PC JOAO PESSOA 52,CENTRO,2007-03-19 13:51:59,True,pendente,"PC JOAO PESSOA 52, CENTRO, ITAPECERICA DA SERRA, SP, Brasil",,
,SP,3522208,ITAPECERICA DA SERRA,71.674.642/0001-14,DROGARIA XV LTDA,AV QUINZE DE NOVEMBRO 560,CENTRO,2013-01-31 00:00:00,True,pendente,"AV QUINZE DE NOVEMBRO 560, CENTRO, ITAPECERICA DA SERRA, SP, Brasil",,
,SP,3522307,ITAPETININGA,00.968.695/0001-08,ALDA LUCIA DE CARVALHO RIVELLI NOGUEIRA,R MARIANA FABIANO ALVES 139,JARDIM PAULISTA,2010-06-24 16:13:27,True,pendente,"R MARIANA FABIANO ALVES 139, JARDIM PAULISTA, ITAPETININGA, SP, Brasil",,
,SP,3522307,ITAPETININGA,01.590.217/0001-61,ILSON BARBOSA RIBEIRO ITAPETININGA,AV DOUTOR WALDOMIRO DE CARVALHO 410,VILA HUNGRIA,2011-08-03 00:00:00,True,pendente,"AV DOUTOR WALDOMIRO DE CARVALHO 410, VILA HUNGRIA, ITAPETININGA, SP, Brasil",,
,SP,3522307,ITAPETININGA,02.620.677/0001-58,A PHARMACEUTICA FARMACIA LTDA,AV PROFESSOR FRANCISCO VALIO 954,CENTRO,2008-09-16 16:37:40,True,pendente,"AV PROFESSOR FRANCISCO VALIO 954, CENTRO, ITAPETININGA, SP, Brasil",,
,SP,3522307,ITAPETININGA,04.049.465/0001-98,DROGARIA SAO ROQUE ITAPETININGA LTDA,R CORINA CACAPAVA BARTH 104,JARDIM ALVORADA,2013-04-30 00:00:00,True,pendente,"R CORINA CACAPAVA BARTH 104, JARDIM ALVORADA, ITAPETININGA, SP, Brasil",,
,SP,3522307,ITAPETININGA,04.148.696/0001-59,PARRE RODRIGUES & RODRIGUES LTDA,AV DOUTOR WALDOMIRO DE CARVALHO 707,VILA HUNGRIA,2012-09-27 00:00:00,True,pendente,"AV DOUTOR WALDOMIRO DE CARVALHO 707, VILA HUNGRIA, ITAPETININGA, SP, Brasil",,
,SP,3522307,ITAPETININGA,06.227.492/0001-39,DROGARIA DROGANOSSA FERNANDO PRESTES LTDA,R PADRE ALBUQUERQUE 335,CENTRO,2010-10-11 00:00:00,True,pendente,"R PADRE ALBUQUERQUE 335, CENTRO, ITAPETININGA, SP, Brasil",,
,SP,3522307,ITAPETININGA,07.708.531/0001-82,DROGARIA MAIS SAUDE ITAPETININGA LTDA,RUA DOUTOR VIRGILIO DE REZENDE 1560,VILA APARECIDA,2013-10-25 00:00:00,True,pendente,"RUA DOUTOR VIRGILIO DE REZENDE 1560, VILA APARECIDA, ITAPETININGA, SP, Brasil",,
,SP,3522307,ITAPETININGA,08.097.136/0001-73,SABRINA FERNANDA MARQUES,10A ALBERTO ERNESTO GUNTER 61,DISTRITO DE RECHA,2010-03-31 00:00:00,True,pendente,"10A ALBERTO ERNESTO GUNTER 61, DISTRITO DE RECHA, ITAPETININGA, SP, Brasil",,
,SP,3522307,ITAPETININGA,08.654.454/0001-98,JCMA DROGARIA BRASIL LTDA,R SALVADOR DE OLIVEIRA LEME 101,JARDIM ITALIA,2008-01-24 00:00:00,True,pendente,"R SALVADOR DE OLIVEIRA LEME 101, JARDIM ITALIA, ITAPETININGA, SP, Brasil",,
,SP,3522307,ITAPETININGA,11.665.534/0001-53,DROGARIA RIBEIRO & RIBEIRO LTDA,R DOUTOR VIRGILIO DE REZENDE 197,CENTRO,2010-10-21 13:15:51,True,pendente,"R DOUTOR VIRGILIO DE REZENDE 197, CENTRO, ITAPETININGA, SP, Brasil",,
,SP,3522307,ITAPETININGA,11.826.253/0001-35,DROGARIA DROGANOSSA PADRE ALBUQUERQUE LTDA,R JOSE DE ALMEIDA CARVALHO 777,CENTRO,2012-10-02 00:00:00,True,pendente,"R JOSE DE ALMEIDA CARVALHO 777, CENTRO, ITAPETININGA, SP, Brasil",,
